epsilon,m,N,log2_inv_eps,fixed_total_bits,fixed_per_elem,adaptive_total_bits,adaptive_per_elem,gap_bits,gap_per_elem,lower_bound
0.01,1,100,6.6439,20.64,20.6439,14.00,14.0000,6.64,6.6439,6.6439
0.01,2,100,6.6439,27.29,13.6439,14.00,7.0000,13.29,6.6439,6.6439
0.01,3,100,6.6439,33.93,11.3105,14.00,4.6667,19.93,6.6439,6.6439
0.01,4,100,6.6439,40.58,10.1439,14.00,3.5000,26.58,6.6439,6.6439
0.01,5,100,6.6439,47.22,9.4439,14.00,2.8000,33.22,6.6439,6.6439
0.01,6,100,6.6439,53.86,8.9772,14.00,2.3333,39.86,6.6439,6.6439
0.01,7,100,6.6439,60.51,8.6439,14.00,2.0000,46.51,6.6439,6.6439
0.01,8,100,6.6439,67.15,8.3939,14.00,1.7500,53.15,6.6439,6.6439
0.01,9,100,6.6439,73.79,8.1994,14.00,1.5556,59.79,6.6439,6.6439
0.01,10,100,6.6439,80.44,8.0439,14.00,1.4000,66.44,6.6439,6.6439
0.01,11,100,6.6439,87.08,7.9166,14.00,1.2727,73.08,6.6439,6.6439
0.01,12,100,6.6439,93.73,7.8105,14.00,1.1667,79.73,6.6439,6.6439
0.01,13,100,6.6439,100.37,7.7208,14.00,1.0769,86.37,6.6439,6.6439
0.01,14,100,6.6439,107.01,7.6439,14.00,1.0000,93.01,6.6439,6.6439
0.01,15,100,6.6439,113.66,7.5772,14.00,0.9333,99.66,6.6439,6.6439
0.01,16,100,6.6439,120.30,7.5189,14.00,0.8750,106.30,6.6439,6.6439
0.01,17,100,6.6439,126.95,7.4674,14.00,0.8235,112.95,6.6439,6.6439
0.01,18,100,6.6439,133.59,7.4216,14.00,0.7778,119.59,6.6439,6.6439
0.01,19,100,6.6439,140.23,7.3807,14.00,0.7368,126.23,6.6439,6.6439
0.01,20,100,6.6439,146.88,7.3439,14.00,0.7000,132.88,6.6439,6.6439
0.01,21,100,6.6439,153.52,7.3105,14.00,0.6667,139.52,6.6439,6.6439
0.01,22,100,6.6439,160.16,7.2802,14.00,0.6364,146.16,6.6439,6.6439
0.01,23,100,6.6439,166.81,7.2526,14.00,0.6087,152.81,6.6439,6.6439
0.01,24,100,6.6439,173.45,7.2272,14.00,0.5833,159.45,6.6439,6.6439
0.01,25,100,6.6439,180.10,7.2039,14.00,0.5600,166.10,6.6439,6.6439
0.01,26,100,6.6439,186.74,7.1823,14.00,0.5385,172.74,6.6439,6.6439
0.01,27,100,6.6439,193.38,7.1624,14.00,0.5185,179.38,6.6439,6.6439
0.01,28,100,6.6439,200.03,7.1439,14.00,0.5000,186.03,6.6439,6.6439
0.01,29,100,6.6439,206.67,7.1266,14.00,0.4828,192.67,6.6439,6.6439
0.01,30,100,6.6439,213.32,7.1105,14.00,0.4667,199.32,6.6439,6.6439
0.01,31,100,6.6439,219.96,7.0955,14.00,0.4516,205.96,6.6439,6.6439
0.01,32,100,6.6439,226.60,7.0814,14.00,0.4375,212.60,6.6439,6.6439
0.01,33,100,6.6439,233.25,7.0681,14.00,0.4242,219.25,6.6439,6.6439
0.01,34,100,6.6439,239.89,7.0556,14.00,0.4118,225.89,6.6439,6.6439
0.01,35,100,6.6439,246.53,7.0439,14.00,0.4000,232.53,6.6439,6.6439
0.01,36,100,6.6439,253.18,7.0327,14.00,0.3889,239.18,6.6439,6.6439
0.01,37,100,6.6439,259.82,7.0222,14.00,0.3784,245.82,6.6439,6.6439
0.01,38,100,6.6439,266.47,7.0123,14.00,0.3684,252.47,6.6439,6.6439
0.01,39,100,6.6439,273.11,7.0028,14.00,0.3590,259.11,6.6439,6.6439
0.01,40,100,6.6439,279.75,6.9939,14.00,0.3500,265.75,6.6439,6.6439
0.01,41,100,6.6439,286.40,6.9853,14.00,0.3415,272.40,6.6439,6.6439
0.01,42,100,6.6439,293.04,6.9772,14.00,0.3333,279.04,6.6439,6.6439
0.01,43,100,6.6439,299.69,6.9694,14.00,0.3256,285.69,6.6439,6.6439
0.01,44,100,6.6439,306.33,6.9620,14.00,0.3182,292.33,6.6439,6.6439
0.01,45,100,6.6439,312.97,6.9550,14.00,0.3111,298.97,6.6439,6.6439
0.01,46,100,6.6439,319.62,6.9482,14.00,0.3043,305.62,6.6439,6.6439
0.01,47,100,6.6439,326.26,6.9417,14.00,0.2979,312.26,6.6439,6.6439
0.01,48,100,6.6439,332.91,6.9355,14.00,0.2917,318.91,6.6439,6.6439
0.01,49,100,6.6439,339.55,6.9296,14.00,0.2857,325.55,6.6439,6.6439
0.01,50,100,6.6439,346.19,6.9239,14.00,0.2800,332.19,6.6439,6.6439
0.01,51,100,6.6439,352.84,6.9184,14.00,0.2745,338.84,6.6439,6.6439
0.01,52,100,6.6439,359.48,6.9131,14.00,0.2692,345.48,6.6439,6.6439
0.01,53,100,6.6439,366.12,6.9080,14.00,0.2642,352.12,6.6439,6.6439
0.01,54,100,6.6439,372.77,6.9031,14.00,0.2593,358.77,6.6439,6.6439
0.01,55,100,6.6439,379.41,6.8984,14.00,0.2545,365.41,6.6439,6.6439
0.01,56,100,6.6439,386.06,6.8939,14.00,0.2500,372.06,6.6439,6.6439
0.01,57,100,6.6439,392.70,6.8895,14.00,0.2456,378.70,6.6439,6.6439
0.01,58,100,6.6439,399.34,6.8852,14.00,0.2414,385.34,6.6439,6.6439
0.01,59,100,6.6439,405.99,6.8811,14.00,0.2373,391.99,6.6439,6.6439
0.01,60,100,6.6439,412.63,6.8772,14.00,0.2333,398.63,6.6439,6.6439
0.01,61,100,6.6439,419.28,6.8734,14.00,0.2295,405.28,6.6439,6.6439
0.01,62,100,6.6439,425.92,6.8697,14.00,0.2258,411.92,6.6439,6.6439
0.01,63,100,6.6439,432.56,6.8661,14.00,0.2222,418.56,6.6439,6.6439
0.01,64,100,6.6439,439.21,6.8626,14.00,0.2188,425.21,6.6439,6.6439
0.01,65,100,6.6439,445.85,6.8592,14.00,0.2154,431.85,6.6439,6.6439
0.01,66,100,6.6439,452.49,6.8560,14.00,0.2121,438.49,6.6439,6.6439
0.01,67,100,6.6439,459.14,6.8528,14.00,0.2090,445.14,6.6439,6.6439
0.01,68,100,6.6439,465.78,6.8497,14.00,0.2059,451.78,6.6439,6.6439
0.01,69,100,6.6439,472.43,6.8468,14.00,0.2029,458.43,6.6439,6.6439
0.01,70,100,6.6439,479.07,6.8439,14.00,0.2000,465.07,6.6439,6.6439
0.01,71,100,6.6439,485.71,6.8410,14.00,0.1972,471.71,6.6439,6.6439
0.01,72,100,6.6439,492.36,6.8383,14.00,0.1944,478.36,6.6439,6.6439
0.01,73,100,6.6439,499.00,6.8356,14.00,0.1918,485.00,6.6439,6.6439
0.01,74,100,6.6439,505.65,6.8330,14.00,0.1892,491.65,6.6439,6.6439
0.01,75,100,6.6439,512.29,6.8305,14.00,0.1867,498.29,6.6439,6.6439
0.01,76,100,6.6439,518.93,6.8281,14.00,0.1842,504.93,6.6439,6.6439
0.01,77,100,6.6439,525.58,6.8257,14.00,0.1818,511.58,6.6439,6.6439
0.01,78,100,6.6439,532.22,6.8233,14.00,0.1795,518.22,6.6439,6.6439
0.01,79,100,6.6439,538.86,6.8211,14.00,0.1772,524.86,6.6439,6.6439
0.01,80,100,6.6439,545.51,6.8189,14.00,0.1750,531.51,6.6439,6.6439
0.01,81,100,6.6439,552.15,6.8167,14.00,0.1728,538.15,6.6439,6.6439
0.01,82,100,6.6439,558.80,6.8146,14.00,0.1707,544.80,6.6439,6.6439
0.01,83,100,6.6439,565.44,6.8125,14.00,0.1687,551.44,6.6439,6.6439
0.01,84,100,6.6439,572.08,6.8105,14.00,0.1667,558.08,6.6439,6.6439
0.01,85,100,6.6439,578.73,6.8086,14.00,0.1647,564.73,6.6439,6.6439
0.01,86,100,6.6439,585.37,6.8066,14.00,0.1628,571.37,6.6439,6.6439
0.01,87,100,6.6439,592.02,6.8048,14.00,0.1609,578.02,6.6439,6.6439
0.01,88,100,6.6439,598.66,6.8029,14.00,0.1591,584.66,6.6439,6.6439
0.01,89,100,6.6439,605.30,6.8012,14.00,0.1573,591.30,6.6439,6.6439
0.01,90,100,6.6439,611.95,6.7994,14.00,0.1556,597.95,6.6439,6.6439
0.01,91,100,6.6439,618.59,6.7977,14.00,0.1538,604.59,6.6439,6.6439
0.01,92,100,6.6439,625.23,6.7960,14.00,0.1522,611.23,6.6439,6.6439
0.01,93,100,6.6439,631.88,6.7944,14.00,0.1505,617.88,6.6439,6.6439
0.01,94,100,6.6439,638.52,6.7928,14.00,0.1489,624.52,6.6439,6.6439
0.01,95,100,6.6439,645.17,6.7912,14.00,0.1474,631.17,6.6439,6.6439
0.01,96,100,6.6439,651.81,6.7897,14.00,0.1458,637.81,6.6439,6.6439
0.01,97,100,6.6439,658.45,6.7882,14.00,0.1443,644.45,6.6439,6.6439
0.01,98,100,6.6439,665.10,6.7867,14.00,0.1429,651.10,6.6439,6.6439
0.01,99,100,6.6439,671.74,6.7853,14.00,0.1414,657.74,6.6439,6.6439
0.01,100,100,6.6439,678.39,6.7839,14.00,0.1400,664.39,6.6439,6.6439
0.01,101,100,6.6439,685.03,6.7825,14.00,0.1386,671.03,6.6439,6.6439
0.01,102,100,6.6439,691.67,6.7811,14.00,0.1373,677.67,6.6439,6.6439
0.01,103,100,6.6439,698.32,6.7798,14.00,0.1359,684.32,6.6439,6.6439
0.01,104,100,6.6439,704.96,6.7785,14.00,0.1346,690.96,6.6439,6.6439
0.01,105,100,6.6439,711.60,6.7772,14.00,0.1333,697.60,6.6439,6.6439
0.01,106,100,6.6439,718.25,6.7759,14.00,0.1321,704.25,6.6439,6.6439
0.01,107,100,6.6439,724.89,6.7747,14.00,0.1308,710.89,6.6439,6.6439
0.01,108,100,6.6439,731.54,6.7735,14.00,0.1296,717.54,6.6439,6.6439
0.01,109,100,6.6439,738.18,6.7723,14.00,0.1284,724.18,6.6439,6.6439
0.01,110,100,6.6439,744.82,6.7711,14.00,0.1273,730.82,6.6439,6.6439
0.01,111,100,6.6439,751.47,6.7700,14.00,0.1261,737.47,6.6439,6.6439
0.01,112,100,6.6439,758.11,6.7689,14.00,0.1250,744.11,6.6439,6.6439
0.01,113,100,6.6439,764.76,6.7677,14.00,0.1239,750.76,6.6439,6.6439
0.01,114,100,6.6439,771.40,6.7667,14.00,0.1228,757.40,6.6439,6.6439
0.01,115,100,6.6439,778.04,6.7656,14.00,0.1217,764.04,6.6439,6.6439
0.01,116,100,6.6439,784.69,6.7645,14.00,0.1207,770.69,6.6439,6.6439
0.01,117,100,6.6439,791.33,6.7635,14.00,0.1197,777.33,6.6439,6.6439
0.01,118,100,6.6439,797.98,6.7625,14.00,0.1186,783.98,6.6439,6.6439
0.01,119,100,6.6439,804.62,6.7615,14.00,0.1176,790.62,6.6439,6.6439
0.01,120,100,6.6439,811.26,6.7605,14.00,0.1167,797.26,6.6439,6.6439
0.01,121,100,6.6439,817.91,6.7596,14.00,0.1157,803.91,6.6439,6.6439
0.01,122,100,6.6439,824.55,6.7586,14.00,0.1148,810.55,6.6439,6.6439
0.01,123,100,6.6439,831.19,6.7577,14.00,0.1138,817.19,6.6439,6.6439
0.01,124,100,6.6439,837.84,6.7568,14.00,0.1129,823.84,6.6439,6.6439
0.01,125,100,6.6439,844.48,6.7559,14.00,0.1120,830.48,6.6439,6.6439
0.01,126,100,6.6439,851.13,6.7550,14.00,0.1111,837.13,6.6439,6.6439
0.01,127,100,6.6439,857.77,6.7541,14.00,0.1102,843.77,6.6439,6.6439
0.01,128,100,6.6439,864.41,6.7532,14.00,0.1094,850.41,6.6439,6.6439
0.01,129,100,6.6439,871.06,6.7524,14.00,0.1085,857.06,6.6439,6.6439
0.01,130,100,6.6439,877.70,6.7515,14.00,0.1077,863.70,6.6439,6.6439
0.01,131,100,6.6439,884.35,6.7507,14.00,0.1069,870.35,6.6439,6.6439
0.01,132,100,6.6439,890.99,6.7499,14.00,0.1061,876.99,6.6439,6.6439
0.01,133,100,6.6439,897.63,6.7491,14.00,0.1053,883.63,6.6439,6.6439
0.01,134,100,6.6439,904.28,6.7483,14.00,0.1045,890.28,6.6439,6.6439
0.01,135,100,6.6439,910.92,6.7476,14.00,0.1037,896.92,6.6439,6.6439
0.01,136,100,6.6439,917.56,6.7468,14.00,0.1029,903.56,6.6439,6.6439
0.01,137,100,6.6439,924.21,6.7460,14.00,0.1022,910.21,6.6439,6.6439
0.01,138,100,6.6439,930.85,6.7453,14.00,0.1014,916.85,6.6439,6.6439
0.01,139,100,6.6439,937.50,6.7446,14.00,0.1007,923.50,6.6439,6.6439
0.01,140,100,6.6439,944.14,6.7439,14.00,0.1000,930.14,6.6439,6.6439
0.01,141,100,6.6439,950.78,6.7431,14.00,0.0993,936.78,6.6439,6.6439
0.01,142,100,6.6439,957.43,6.7424,14.00,0.0986,943.43,6.6439,6.6439
0.01,143,100,6.6439,964.07,6.7418,14.00,0.0979,950.07,6.6439,6.6439
0.01,144,100,6.6439,970.72,6.7411,14.00,0.0972,956.72,6.6439,6.6439
0.01,145,100,6.6439,977.36,6.7404,14.00,0.0966,963.36,6.6439,6.6439
0.01,146,100,6.6439,984.00,6.7397,14.00,0.0959,970.00,6.6439,6.6439
0.01,147,100,6.6439,990.65,6.7391,14.00,0.0952,976.65,6.6439,6.6439
0.01,148,100,6.6439,997.29,6.7385,14.00,0.0946,983.29,6.6439,6.6439
0.01,149,100,6.6439,1003.93,6.7378,14.00,0.0940,989.93,6.6439,6.6439
0.01,150,100,6.6439,1010.58,6.7372,14.00,0.0933,996.58,6.6439,6.6439
0.01,151,100,6.6439,1017.22,6.7366,14.00,0.0927,1003.22,6.6439,6.6439
0.01,152,100,6.6439,1023.87,6.7360,14.00,0.0921,1009.87,6.6439,6.6439
0.01,153,100,6.6439,1030.51,6.7354,14.00,0.0915,1016.51,6.6439,6.6439
0.01,154,100,6.6439,1037.15,6.7348,14.00,0.0909,1023.15,6.6439,6.6439
0.01,155,100,6.6439,1043.80,6.7342,14.00,0.0903,1029.80,6.6439,6.6439
0.01,156,100,6.6439,1050.44,6.7336,14.00,0.0897,1036.44,6.6439,6.6439
0.01,157,100,6.6439,1057.09,6.7330,14.00,0.0892,1043.09,6.6439,6.6439
0.01,158,100,6.6439,1063.73,6.7325,14.00,0.0886,1049.73,6.6439,6.6439
0.01,159,100,6.6439,1070.37,6.7319,14.00,0.0881,1056.37,6.6439,6.6439
0.01,160,100,6.6439,1077.02,6.7314,14.00,0.0875,1063.02,6.6439,6.6439
0.01,161,100,6.6439,1083.66,6.7308,14.00,0.0870,1069.66,6.6439,6.6439
0.01,162,100,6.6439,1090.30,6.7303,14.00,0.0864,1076.30,6.6439,6.6439
0.01,163,100,6.6439,1096.95,6.7297,14.00,0.0859,1082.95,6.6439,6.6439
0.01,164,100,6.6439,1103.59,6.7292,14.00,0.0854,1089.59,6.6439,6.6439
0.01,165,100,6.6439,1110.24,6.7287,14.00,0.0848,1096.24,6.6439,6.6439
0.01,166,100,6.6439,1116.88,6.7282,14.00,0.0843,1102.88,6.6439,6.6439
0.01,167,100,6.6439,1123.52,6.7277,14.00,0.0838,1109.52,6.6439,6.6439
0.01,168,100,6.6439,1130.17,6.7272,14.00,0.0833,1116.17,6.6439,6.6439
0.01,169,100,6.6439,1136.81,6.7267,14.00,0.0828,1122.81,6.6439,6.6439
0.01,170,100,6.6439,1143.46,6.7262,14.00,0.0824,1129.46,6.6439,6.6439
0.01,171,100,6.6439,1150.10,6.7257,14.00,0.0819,1136.10,6.6439,6.6439
0.01,172,100,6.6439,1156.74,6.7253,14.00,0.0814,1142.74,6.6439,6.6439
0.01,173,100,6.6439,1163.39,6.7248,14.00,0.0809,1149.39,6.6439,6.6439
0.01,174,100,6.6439,1170.03,6.7243,14.00,0.0805,1156.03,6.6439,6.6439
0.01,175,100,6.6439,1176.67,6.7239,14.00,0.0800,1162.67,6.6439,6.6439
0.01,176,100,6.6439,1183.32,6.7234,14.00,0.0795,1169.32,6.6439,6.6439
0.01,177,100,6.6439,1189.96,6.7230,14.00,0.0791,1175.96,6.6439,6.6439
0.01,178,100,6.6439,1196.61,6.7225,14.00,0.0787,1182.61,6.6439,6.6439
0.01,179,100,6.6439,1203.25,6.7221,14.00,0.0782,1189.25,6.6439,6.6439
0.01,180,100,6.6439,1209.89,6.7216,14.00,0.0778,1195.89,6.6439,6.6439
0.01,181,100,6.6439,1216.54,6.7212,14.00,0.0773,1202.54,6.6439,6.6439
0.01,182,100,6.6439,1223.18,6.7208,14.00,0.0769,1209.18,6.6439,6.6439
0.01,183,100,6.6439,1229.83,6.7204,14.00,0.0765,1215.83,6.6439,6.6439
0.01,184,100,6.6439,1236.47,6.7199,14.00,0.0761,1222.47,6.6439,6.6439
0.01,185,100,6.6439,1243.11,6.7195,14.00,0.0757,1229.11,6.6439,6.6439
0.01,186,100,6.6439,1249.76,6.7191,14.00,0.0753,1235.76,6.6439,6.6439
0.01,187,100,6.6439,1256.40,6.7187,14.00,0.0749,1242.40,6.6439,6.6439
0.01,188,100,6.6439,1263.04,6.7183,14.00,0.0745,1249.04,6.6439,6.6439
0.01,189,100,6.6439,1269.69,6.7179,14.00,0.0741,1255.69,6.6439,6.6439
0.01,190,100,6.6439,1276.33,6.7175,14.00,0.0737,1262.33,6.6439,6.6439
0.01,191,100,6.6439,1282.98,6.7172,14.00,0.0733,1268.98,6.6439,6.6439
0.01,192,100,6.6439,1289.62,6.7168,14.00,0.0729,1275.62,6.6439,6.6439
0.01,193,100,6.6439,1296.26,6.7164,14.00,0.0725,1282.26,6.6439,6.6439
0.01,194,100,6.6439,1302.91,6.7160,14.00,0.0722,1288.91,6.6439,6.6439
0.01,195,100,6.6439,1309.55,6.7157,14.00,0.0718,1295.55,6.6439,6.6439
0.01,196,100,6.6439,1316.20,6.7153,14.00,0.0714,1302.20,6.6439,6.6439
0.01,197,100,6.6439,1322.84,6.7149,14.00,0.0711,1308.84,6.6439,6.6439
0.01,198,100,6.6439,1329.48,6.7146,14.00,0.0707,1315.48,6.6439,6.6439
0.01,199,100,6.6439,1336.13,6.7142,14.00,0.0704,1322.13,6.6439,6.6439
0.01,200,100,6.6439,1342.77,6.7139,14.00,0.0700,1328.77,6.6439,6.6439
0.05,1,100,4.3219,18.32,18.3219,14.00,14.0000,4.32,4.3219,4.3219
0.05,2,100,4.3219,22.64,11.3219,14.00,7.0000,8.64,4.3219,4.3219
0.05,3,100,4.3219,26.97,8.9886,14.00,4.6667,12.97,4.3219,4.3219
0.05,4,100,4.3219,31.29,7.8219,14.00,3.5000,17.29,4.3219,4.3219
0.05,5,100,4.3219,35.61,7.1219,14.00,2.8000,21.61,4.3219,4.3219
0.05,6,100,4.3219,39.93,6.6553,14.00,2.3333,25.93,4.3219,4.3219
0.05,7,100,4.3219,44.25,6.3219,14.00,2.0000,30.25,4.3219,4.3219
0.05,8,100,4.3219,48.58,6.0719,14.00,1.7500,34.58,4.3219,4.3219
0.05,9,100,4.3219,52.90,5.8775,14.00,1.5556,38.90,4.3219,4.3219
0.05,10,100,4.3219,57.22,5.7219,14.00,1.4000,43.22,4.3219,4.3219
0.05,11,100,4.3219,61.54,5.5947,14.00,1.2727,47.54,4.3219,4.3219
0.05,12,100,4.3219,65.86,5.4886,14.00,1.1667,51.86,4.3219,4.3219
0.05,13,100,4.3219,70.19,5.3989,14.00,1.0769,56.19,4.3219,4.3219
0.05,14,100,4.3219,74.51,5.3219,14.00,1.0000,60.51,4.3219,4.3219
0.05,15,100,4.3219,78.83,5.2553,14.00,0.9333,64.83,4.3219,4.3219
0.05,16,100,4.3219,83.15,5.1969,14.00,0.8750,69.15,4.3219,4.3219
0.05,17,100,4.3219,87.47,5.1455,14.00,0.8235,73.47,4.3219,4.3219
0.05,18,100,4.3219,91.79,5.0997,14.00,0.7778,77.79,4.3219,4.3219
0.05,19,100,4.3219,96.12,5.0588,14.00,0.7368,82.12,4.3219,4.3219
0.05,20,100,4.3219,100.44,5.0219,14.00,0.7000,86.44,4.3219,4.3219
0.05,21,100,4.3219,104.76,4.9886,14.00,0.6667,90.76,4.3219,4.3219
0.05,22,100,4.3219,109.08,4.9583,14.00,0.6364,95.08,4.3219,4.3219
0.05,23,100,4.3219,113.40,4.9306,14.00,0.6087,99.40,4.3219,4.3219
0.05,24,100,4.3219,117.73,4.9053,14.00,0.5833,103.73,4.3219,4.3219
0.05,25,100,4.3219,122.05,4.8819,14.00,0.5600,108.05,4.3219,4.3219
0.05,26,100,4.3219,126.37,4.8604,14.00,0.5385,112.37,4.3219,4.3219
0.05,27,100,4.3219,130.69,4.8404,14.00,0.5185,116.69,4.3219,4.3219
0.05,28,100,4.3219,135.01,4.8219,14.00,0.5000,121.01,4.3219,4.3219
0.05,29,100,4.3219,139.34,4.8047,14.00,0.4828,125.34,4.3219,4.3219
0.05,30,100,4.3219,143.66,4.7886,14.00,0.4667,129.66,4.3219,4.3219
0.05,31,100,4.3219,147.98,4.7735,14.00,0.4516,133.98,4.3219,4.3219
0.05,32,100,4.3219,152.30,4.7594,14.00,0.4375,138.30,4.3219,4.3219
0.05,33,100,4.3219,156.62,4.7462,14.00,0.4242,142.62,4.3219,4.3219
0.05,34,100,4.3219,160.95,4.7337,14.00,0.4118,146.95,4.3219,4.3219
0.05,35,100,4.3219,165.27,4.7219,14.00,0.4000,151.27,4.3219,4.3219
0.05,36,100,4.3219,169.59,4.7108,14.00,0.3889,155.59,4.3219,4.3219
0.05,37,100,4.3219,173.91,4.7003,14.00,0.3784,159.91,4.3219,4.3219
0.05,38,100,4.3219,178.23,4.6903,14.00,0.3684,164.23,4.3219,4.3219
0.05,39,100,4.3219,182.56,4.6809,14.00,0.3590,168.56,4.3219,4.3219
0.05,40,100,4.3219,186.88,4.6719,14.00,0.3500,172.88,4.3219,4.3219
0.05,41,100,4.3219,191.20,4.6634,14.00,0.3415,177.20,4.3219,4.3219
