epsilon,m,N,t,actual_eps,p_success,n_reps,theo_EL_approx,exact_EL,hash_mean_L,hash_std_L,geo_mean_L,geo_std_L,hash_n_found
0.1,1,100,9,0.1000,0.10000000,500,3.3219,2.3527,2.3620,1.3560,2.2980,1.3479,500
0.1,2,100,9,0.1000,0.01000000,500,6.6439,5.3777,5.4900,1.7424,5.4280,1.7987,500
0.1,3,100,9,0.1000,0.00100000,500,9.9658,8.6430,8.5900,1.8211,8.7500,1.8105,500
0.1,4,100,9,0.1000,0.00010000,500,13.2877,11.9563,11.8800,2.1096,11.8480,1.9194,500
0.1,5,100,9,0.1000,0.00001000,500,16.6096,15.2771,15.1400,2.0270,15.3000,1.9019,500
0.2,1,100,19,0.2000,0.20000000,500,2.3219,1.5579,1.6780,1.1649,1.6320,1.0913,500
0.2,2,100,19,0.2000,0.04000000,500,4.6439,3.5024,3.5360,1.5702,3.5940,1.5421,500
0.2,3,100,19,0.2000,0.00800000,500,6.9658,5.6888,5.6580,1.8043,5.7700,1.6884,500
0.2,4,100,19,0.2000,0.00160000,500,9.2877,7.9698,7.9820,1.8817,8.0260,1.8298,500
0.2,5,100,19,0.2000,0.00032000,500,11.6096,10.2806,10.1420,1.9270,10.2560,1.7745,500
